machineName,prefix,additionalInfo
204799-3-H,LPH_LR,successful
204799-4-H,PV,successful
204801-10-H,,Not enough Free space on drive C: 16 GB
204795-10-T,,Computer: 204795-10-T failed to download or is disconnected. Error: The network path was not found. : '\\204795-10-T\C$\Install\extract v2.5.zip'
204801-3-H,,Computer: 204801-3-H failed to download or is disconnected. Error: The network path was not found. : '\\204801-3-H\C$\Install\extract v2.5.zip'
204800-4-H,,Computer: 204800-4-H failed to download or is disconnected. Error: The network path was not found. : '\\204800-4-H\C$\Install\extract v2.5.zip'
204794-17-H,LR_LPH,successful
204794-4-H,,Computer: 204794-4-H failed to download or is disconnected. Error: The trust relationship between this workstation and the primary domain failed. : '\\204794-4-H\C$\Install\extract v2.5.zip'
204793-3-T,LR_LPH,successful
204798-4-H,,Computer: 204798-4-H failed to download or is disconnected. Error: The network path was not found. : '\\204798-4-H\C$\Install\extract v2.5.zip'
204795-3-H,,Computer: 204795-3-H failed to download or is disconnected. Error: The network path was not found. : '\\204795-3-H\C$\Install\extract v2.5.zip'
204792-3-T,LPH_LR,successful
204793-4-SV,PV,successful
204795-3-T,,Computer: 204795-3-T failed to download or is disconnected. Error: The network path was not found. : '\\204795-3-T\C$\Install\extract v2.5.zip'
204792-4-T,,Computer: 204792-4-T failed to download or is disconnected. Error: The network path was not found. : '\\204792-4-T\C$\Install\extract v2.5.zip'
204791-3-T,,Computer: 204791-3-T failed to download or is disconnected. Error: The network path was not found. : '\\204791-3-T\C$\Install\extract v2.5.zip'
204791-4-T,,Computer: 204791-4-T failed to download or is disconnected. Error: The network path was not found. : '\\204791-4-T\C$\Install\extract v2.5.zip'
204788-3-H,,nonLoadableDeviceName was not changed
204788-3-H,,Error occurred while processing subkey 637774256768548797: nonloadable was not changed
204788-4-T,,Computer: 204788-4-T failed to download or is disconnected. Error: The network path was not found. : '\\204788-4-T\C$\Install\extract v2.5.zip'
204788-4-H,PV,successful
204790-17-T,LR_LPH,successful
204790-4-T,PV,successful
204786-3-T,LR_LPH,successful
204783-3-T,LPH_LR,successful
204787-4-H,,Computer: 204787-4-H failed to download or is disconnected. Error: The network path was not found. : '\\204787-4-H\C$\Install\extract v2.5.zip'
204783-4-T,PV,successful
204786-4-T,,Computer: 204786-4-T failed to download or is disconnected. Error: The network path was not found. : '\\204786-4-T\C$\Install\extract v2.5.zip'
204780-10-T,,Not enough Free space on drive C: 17 GB
204780-3-T,LR,successful
204782-3-H,,Computer: 204782-3-H failed to download or is disconnected. Error: The network path was not found. : '\\204782-3-H\C$\Install\extract v2.5.zip'
204782-4-H,,Computer: 204782-4-H failed to download or is disconnected. Error: The network path was not found. : '\\204782-4-H\C$\Install\extract v2.5.zip'
204781-3-T,,Computer: 204781-3-T failed to download or is disconnected. Error: The network path was not found. : '\\204781-3-T\C$\Install\extract v2.5.zip'
204779-3-T,,Computer: 204779-3-T failed to download or is disconnected. Error: The network path was not found. : '\\204779-3-T\C$\Install\extract v2.5.zip'
204781-4-T,,Computer: 204781-4-T failed to download or is disconnected. Error: The network path was not found. : '\\204781-4-T\C$\Install\extract v2.5.zip'
204775-4-T,PV,successful
204775-3-T,LPH_LR,successful
204779-4-T,,Computer: 204779-4-T failed to download or is disconnected. Error: The network path was not found. : '\\204779-4-T\C$\Install\extract v2.5.zip'
204778-3-T,,Computer: 204778-3-T failed to download or is disconnected. Error: The network path was not found. : '\\204778-3-T\C$\Install\extract v2.5.zip'
204778-4-T,,Computer: 204778-4-T failed to download or is disconnected. Error: The network path was not found. : '\\204778-4-T\C$\Install\extract v2.5.zip'
204773-3-T,LR_LPH,successful
204773-4-T,PV,successful
204769-3-T,LR_LPH,successful
204770-4-H,,Not enough Free space on drive C: 18 GB
204769-4-T,,Not enough Free space on drive C: 0 GB
204768-3-T,LR_LPH,successful
204768-4-T,,nonLoadableDeviceName was not changed
204768-4-T,,Error occurred while processing subkey 637721516312447021: nonloadable was not changed
204768-1-T,LL4P,successful
204770-3-H,,Computer: 204770-3-H failed to download or is disconnected. Error: The network path was not found. : '\\204770-3-H\C$\Install\extract v2.5.zip'
204767-3-T,,Computer: 204767-3-T failed to download or is disconnected. Error: The target account name is incorrect. : '\\204767-3-T\C$\Install\extract v2.5.zip'
204767-4-T,PV,successful
204764-4-T,,nonLoadableDeviceName was not changed
204764-4-T,,Error occurred while processing subkey 637834571851766823: nonloadable was not changed
204766-3-T,,Computer: 204766-3-T failed to download or is disconnected. Error: The network path was not found. : '\\204766-3-T\C$\Install\extract v2.5.zip'
204766-4-T,,Computer: 204766-4-T failed to download or is disconnected. Error: The network path was not found. : '\\204766-4-T\C$\Install\extract v2.5.zip'
